"PROJECT_NAME","DOCKET NO. ","Page Link","Docket Link","PROJECT_OWNER","PROJECT_STATUS","LEVEL_OF_REVIEW","EXPECTED_COMPLETION","BACKUP (MW)","CITY","COUNTY","ADDRESS","LAT","LONG","TOTAL_GENERATORS","TOTAL_LOAD_SERVING_GENERATORS","BGF FUEL TYPE","EXPECTED_GENERATOR_TESTING_YR (hrs)","QUANTITY_FUEL_USED (bbl/yr)","SQUARE FOOTAGE (facility)","GRID UPGRADES REQUIRED","DEDICATED_FACILITIES","GRID_INTERCONNECTION","DELIVERY_UTILITY","RETAIL_SERVICE_PROVIDER","LEND_POWER?","POINT_OF_INTERCONNECTION","PATCH_STATUS","HUMAN_REVIEW_FILE"
"AVAIO Pittsburg Backup Generating Facility (PBGF)","24-SPPE-01","https://www.energy.ca.gov/powerplant/backup-generating-system/avaio-pittsburg-backup-generating-facility-pbgf","https://efiling.energy.ca.gov/Lists/DocketLog.aspx?docketnumber=24-SPPE-01","AVAIO Digital Partners I, LLC","Exempted","MND","2027-05","92","Pittsburg","Contra Costa","2232 Golf Club Road, Pittsburg, CA 94565","38.011048","-121.910911","37 × 3 MW","30 × 3 MW","Renewable diesel; ultra-low sulfur diesel (secondary during supply disruption)","34","6140","347740","New PG&E 230 kV breaker-and-a-half switching station with six 230 kV breakers, plus two overhead transmission-line extensions looping the existing Pittsburg-Eastshore 230 kV line to the station through two new steel monopoles replacing one lattice tower.","On-site two-bay project/PPC substation with two 100 MVA 230/34.5 kV step-down transformers in a 2-to-make-1 design, primary distribution switchgear, and two 245 kV high-voltage breakers.","transmission","PG&E","Pittsburg Power Company (PPC)","Export: No; DR: Will not participate","Service POI: proposed PG&E 230 kV switching station adjacent to the project substation; upstream line: existing Pittsburg-Eastshore 230 kV line looped into the station; upstream endpoints: Pittsburg Substation and Eastshore Substation","PASS","AVAILABLE"
"NorthTown Backup Generating Facility","25-SPPE-02","https://www.energy.ca.gov/powerplant/backup-generating-system/northtown-backup-generating-facility","https://efiling.energy.ca.gov/Lists/DocketLog.aspx?docketnumber=25-SPPE-02","GIC San Jose, LLC","Pending","EIR","2030-03-01","97.3","San José","Santa Clara","Property associated with 350 and 370 West Trimble Road, San José, CA 95131","37.382874","-121.933154","40 × 3 MW","32 × 3 MW","Renewable diesel primary; ultra-low sulfur diesel alternative","50","10218","414000","Expansion of PG&E's 115 kV Component Switching Station","GIC San Jose-owned 115/34.5 kV Project Substation (110 MVA nominal; two 105 MVA transformers in a 2-to-make-1 arrangement) and two project-serving 115 kV supply lines to the PG&E switching station; lines owned by PG&E","transmission","PG&E","San José Clean Energy TotalGreen or equivalent 100% carbon-free retail provider ","Export: No; DR: No","Service POI: PG&E Component Switching Station via two 115 kV supply lines; upstream line: Newark–Trimble 115 kV, sourced by Newark and Trimble substations","PASS","AVAILABLE"
"RB Inyokern Data Center","26-SPPE-01","https://www.energy.ca.gov/powerplant/backup-generating-system/rb-inyokern-data-center","https://efiling.energy.ca.gov/Lists/DocketLog.aspx?docketnumber=26-SPPE-01","R&L Capital, Inc.","Pending","Not yet determined","2028","99","Inyokern (unincorporated)","Kern","Northwest quadrant of State Route 178 (West Inyokern Road) and U.S. Highway 395; data-center campus on APNs 084-010-43, 084-010-44, and portion of 084-010-45; no street address assigned, Inyokern, CA","35.6545591638023","-117.808134036084","40 × 3 MW","38 × 3 MW","Renewable diesel primary; ultra-low sulfur diesel alternative","50","38914.28571","238000","Existing SCE Inyokern 115 kV Substation reconfiguration to a compact switch rack and approximately 136-foot westward extension for two new outgoing circuit positions; approximately 300-foot underground getaway segments per route may be required. ","Customer-owned 115/34.5 kV substation with two 60/80/100 MVA transformers and a 34.5 kV ring bus; adjacent SCE-owned 115 kV ring-bus interface; two dedicated SCE-constructed 115 kV subtransmission routes (approximately 8000 feet/34 structures and 4000 feet/14 structures) plus two SCE protection/control fiber routes.","subtransmission","SCE","SCE","Export: No; DR: No","Service POI: SCE-owned 115 kV ring-bus interface adjacent to the customer-owned substation south of SR-178; upstream source: existing SCE Inyokern 115 kV Substation via Route 1 and Route 2","INCOMPLETE","AVAILABLE"
"San Jose Data Center 04","22-SPPE-02","https://www.energy.ca.gov/powerplant/backup-generating-system/san-jose-data-center-04","https://efiling.energy.ca.gov/Lists/DocketLog.aspx?docketnumber=22-SPPE-02","Microsoft Corporation","Pending","EIR","2028","97.8","San José","Santa Clara","Northwest corner of Orchard Parkway and Component Drive, San José, CA","37.378508","-121.932900","32 × 3 MW","24 × 3 MW","Renewable diesel primary; ultra-low sulfur diesel alternative","50","8256","630858","None identified","Microsoft 115/34.5 kV substation; PG&E 115 kV on-site switching station and microwave tower; two ACSR service ties; PG&E metering/meter-relay building; new 115 kV project service/system tie","distribution","PG&E","SJCE/equivalent 100%-carbon-free procurement required","Export: No; Parallel: No; DR: Not stated","Service POI: new on-site PG&E 115 kV switching station; upstream line: Trimble–Newark (reliability narrative: Newark-Lawrence); alternatives: Not stated","PASS","AVAILABLE"
"Vernon Backup Generating Facility","25-SPPE-01","https://www.energy.ca.gov/powerplant/backup-generating-system/vernon-backup-generating-facility-vbgf","https://efiling.energy.ca.gov/Lists/DocketLog.aspx?docketnumber=25-SPPE-01","GIC Vernon LLC","Pending","Not yet determined","2028","99","Vernon","Los Angeles","3163 East Vernon Avenue (Building 1); 3049 East Vernon Avenue (Building 2), Vernon, CA","34.006228","-118.21782","38 × 3 MW","32 × 3 MW","Renewable diesel primary; ultra-low sulfur diesel alternative","50","9400","567672","None identified","GIC Vernon-owned 100 MVA Project Substation with four 56 MVA 66/34.5 kV step-down transformers; VPU-owned on-site Soto Switching Station; two independent project-serving 66 kV GM2 circuits, each capable of serving the full 99 MW load (preliminary route includes underground/overhead segments and new/modified poles).","subtransmission","Vernon Public Utilities","Vernon Public Utilities ","Export: No; Parallel: No; DR: No","Service POI: VPU on-site Soto Switching Station, 66 kV; upstream line: GM2 Circuits 1 and 2 from Leonis Substation; alternatives: None stated.","PASS","AVAILABLE"
"Bowers BGF","22-SPPE-01","https://www.energy.ca.gov/powerplant/backup-generating-system/bowers-backup-generating-facility","https://efiling.energy.ca.gov/Lists/DocketLog.aspx?docketnumber=22-SPPE-01","GI Partners","Exempted","EIR","After summer 2025","72","Santa Clara","Santa Clara","2805 Bowers Avenue, Santa Clara, CA","37.372426","-121.97643","32 × 3 MW","24 × 3 MW","Renewable diesel primary; ultra-low sulfur diesel alternative","50","7886","244068","None identified beyond the project-specific tie-in to the existing SVP 60 kV system; no off-site/shared-system reinforcement is described.","Dedicated on-site 72 MVA BDC substation with three 30/40/50 MVA 60/12 kV step-down transformers (3-to-make-2) and primary switchgear; project-site interconnection conductor, three radial taps to the existing SVP Uranium 60 kV feeder, and up to three on-site transmission poles; interim two underground circuits (option for a third) from the SVP Uranium Substation.","subtransmission","SVP","Silicon Valley Power","Export: No; Parallel: No; DR: Possible (ELRP/DSGS load reduction)","Service POI: three radial taps from the BDC substation to the existing SVP Uranium Substation 60 kV transmission feeder/loop; upstream loop endpoint(s): not named; alternatives: Not stated.","PASS","AVAILABLE"
"Lafayette BGF","20-SPPE-02","https://www.energy.ca.gov/powerplant/backup-generating-system/lafayette-backup-generating-facility","https://efiling.energy.ca.gov/Lists/DocketLog.aspx?docketnumber=20-SPPE-02","Digital Realty","Exempted","EIR","2025-Q3 to 2025-Q4","99.8","Santa Clara","Santa Clara","2825 Lafayette Street, Santa Clara, CA","37.372616","-121.946791","44 × 3 MW","33 × 3 MW","Renewable diesel primary; ultra-low sulfur diesel alternative","50","10929","575401","New SVP 60 kV South Loop interconnection using 715 ACCR double-bundle conductors (310 MVA), north/south approaches, and up to two new poles; west-side line also serves future development; final line design pending.","SVP-owned on-site three-bay 60/12 kV distribution substation with 3 × 50 MVA transformers (two provide 100 MVA firm capacity; one redundant).","subtransmission","SVP","SVP","Export: No; Parallel: No; DR: Possible (ELRP/DSGS load reduction after grid disconnection; participation not committed)","Service POI: new SVP-owned on-site 60/12 kV substation inserted into SVP South Loop at 60 kV; upstream sources: Receiving Stations #1/#2; exact named tap/bus: Not stated.","PASS","AVAILABLE"
"Laurelwood Data Center","19-SPPE-01","https://www.energy.ca.gov/powerplant/backup-generating-system/laurelwood-data-center","https://efiling.energy.ca.gov/Lists/DocketLog.aspx?docketnumber=19-SPPE-01","MECP1 Santa Clara 1, LLC","Exempted","MND","2021-04 to 2021-06","99","Santa Clara","Santa Clara","2201 Laurelwood Road, Santa Clara, CA","37.383294","-121.962477","56 × 3.0 MW","33 × 3.0 MW","Diesel","21","14280","533952","None identified: the adopted project requires project-specific service facilities consisting of an approximately 600-foot 60 kV supply-line extension with three poles tying San Tomas Junction to SVP's existing Northwest Loop line west of San Tomas Aquino Creek.","Project-specific San Tomas Junction (STJ) onsite 60/12.47 kV substation providing SVP service, with three 50 MVA transformers (two load-serving plus one redundant), four 60 kV breakers, three high-side service gang switches, and an approximately 600-foot 60 kV supply-line extension with three poles to SVP's existing line.","subtransmission","SVP","Silicon Valley Power (City of Santa Clara municipal utility)","Export: No; DR: Possible (emergency SVP/CAISO curtailment or load reduction only; no paid or named program stated)","Service POI: SVP 60 kV at three high-side transformer gang switches GS36, GS26, and GS16 at San Tomas Junction; service extension/tap: approximately 600-foot line to SVP's existing 60 kV line west of San Tomas Aquino Creek; loop placement: Northwest Loop between Central (CEN) and Juliette (JUL) 60 kV substations; upstream loop sources: Northern Receiving Station (NRS) and Scott Receiving Station (SRS), not the service POI; alternatives: None stated.","PASS","AVAILABLE"
"Martin BGF","22-SPPE-03","https://www.energy.ca.gov/powerplant/backup-generating-system/martin-backup-generating-facility-mbgf","https://efiling.energy.ca.gov/Lists/DocketLog.aspx?docketnumber=22-SPPE-03","Martin Avenue Properties, LLC","Exempted","EIR","2025","96.8","Santa Clara","Santa Clara","651 Martin Avenue, Santa Clara, CA 95050","37.367525","-121.946440","44 × 2.75 MW","32 × 2.75 MW","Renewable diesel primary; ultra-low sulfur diesel alternative","35","7117","468175","Tie into an existing adjacent 60 kV line via a switching station","On-site 100 MVA two-bay 60/34.5 kV distribution substation with two redundant 100 MVA step-down transformers (2-to-make-1), directly served by the on-site SVP switching station. ","subtransmission","SVP","Silicon Valley Power","Export: No; DR: Possible (conditional ELRP/DSGS-style load reduction after disconnecting from the grid; participation not committed or eligibility established)","Service POI: on-site loop-in/tie-in along Martin Avenue where the new SVP switching station intercepts and routes the existing adjacent 60 kV transmission line; two radial taps run downstream to the MDC substation. Upstream line name/endpoints and alternative POIs: Not stated.","PASS","AVAILABLE"
"McLaren BGF","17-SPPE-01","https://www.energy.ca.gov/powerplant/backup-generating-system/mclaren-backup-generating-facility","https://efiling.energy.ca.gov/Lists/DocketLog.aspx?docketnumber=17-SPPE-01","Vantage Data Centers","Exempted","MND","2022","98.67","Santa Clara","Santa Clara","651, 725, and 825 Mathew Street, Santa Clara, CA 95050","37.364087","-121.947081","47 × 2.75 MW","Not stated","Ultra-low sulfur diesel","50","10870","541000","SVP Southern Loop restructuring to serve the site; the McLaren substation is fed by two separate 60 kV loop legs whose upstream sources are the SRF and KRF substations.","SVP-owned and operated on-site McLaren distribution substation; dedicated 3,750 kVA utility transformers/main switchboards and generator-to-building switchgear/cabling serve the MDC electrical systems.","distribution","SVP","SVP","Export: No; DR: Not stated","Service POI: SVP-owned on-site McLaren distribution substation, 60 kV; upstream system: Southern Loop with separate legs sourced from the SRF and KRF substations; alternatives: Not stated.","PASS","AVAILABLE"
