year,utility,filename,source_url,submission_form,spatial_records_status,sha256
2024,PG&E,2024_pge_postsr2a.zip,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/2024-psps-post-season-reports/pgepostr2a2025gdb.zip,file_geodatabase,impacted_tract_records,61a356a7a78fd4c94a89027c8a532a5200adb393987c4ffc89895717d7e8c383
2024,SCE,2024_sce_postsr2a.zip,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/2024-psps-post-season-reports/scepostsr2a512025gdb.zip,file_geodatabase,impacted_tract_records,babd622bea8b411ec92ae36b1b4e73a69c4cecd38f9dcd4cab307b5c189ae9ba
2024,SDG&E,2024_sdge_postsr2a.zip,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/2024-psps-post-season-reports/sdgepostsr2a332025r0gdb.zip,file_geodatabase,impacted_tract_records,b688f9323d9e499b18404808905597f656d870fb4b9af328e08e68c4d16d0b6e
2024,PacifiCorp,2024_pacificorp_postsr2a.xlsx,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/2024-psps-post-season-reports/pacificorp_postsr2a_3-3-2025.xlsx,spreadsheet,explicit_no_psps_event,55418b3b38485b9e8c9abc405d939a359eeef82f85ac4166f051e09ae253fb2d
2024,Liberty,2024_liberty_postsr2a.zip,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/2024-psps-post-season-reports/libpostsr2a312025gdb.zip,file_geodatabase,impacted_tract_records,5c476eb557113c74db976b48d2fda9c11ee44dedbecace8d3c4e6715d8c450cf
2024,BVES,2024_bves_postsr2a.xlsx,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/2024-psps-post-season-reports/bves_postsr2a_2-28-2025.xlsx,spreadsheet,template_without_spatial_records,c8f5bd04aab35bd87eaf587acfe7c8d27dc7db8f38186b54742cb0b2e19388c8
2025,PG&E,2025_pge_postsr2a.zip,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/2025-psps-post-season-reports/2025-pge-postsr2a.zip,file_geodatabase,impacted_tract_records,33e94e4b0d76e8f47664b9024ae8d8fa7e79e117108518606284e95664627360
2025,SCE,2025_sce_postsr2a.zip,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/2025-psps-post-season-reports/scepostsr2a322026gdb.zip,file_geodatabase,impacted_tract_records,290716f511a4d93eb20f35bdfc963e9a5eaa2d7ce242616d635695f3237af1cd
2025,SDG&E,2025_sdge_postsr2a.zip,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/2025-psps-post-season-reports/sdgepostsr2a322026r0gdb.zip,file_geodatabase,impacted_tract_records,04ed49b4274986aef04b57cf360da76fe25f2dab09cc51fd9b2d0f0f7a40fb09
2025,PacifiCorp,2025_pacificorp_postsr2a.xlsx,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/2025-psps-post-season-reports/pacificorp_postsr2a-3-2-2026.xlsx,spreadsheet,template_without_spatial_records,75ea0cfc2fe3a00a00d2398d913b80b1a00cf95753bf8ee3ccc3be56ed737a80
2025,Liberty,2025_liberty_postsr2a.zip,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/2025-psps-post-season-reports/libertypostsr2a03012026gdb.zip,file_geodatabase,impacted_tract_records,cb09271477a50d0c7f9482ada381257b5d947454764c01ce616da3e9fb0dbe3c
2025,BVES,2025_bves_postsr2a.xlsx,https://www.cpuc.ca.gov/-/media/cpuc-website/divisions/safety-and-enforcement-division/reports/2025-psps-post-season-reports/bves_postsr2a_3-01-2026.xlsx,spreadsheet,template_without_spatial_records,a610e964636f9547934d7899569cf819e580e05bb7f99856500882a97a1806e3
census_2010,US Census Bureau,tl_2010_06_tract10.zip,https://www2.census.gov/geo/tiger/TIGER2010/TRACT/2010/tl_2010_06_tract10.zip,TIGER_Line_shapefile,canonical_California_tract_geometry,6ad5d8f180602c4fef61fabcc1d60feaf592a12deefb01cd389cdcd131edb432
census_2020,US Census Bureau,tl_2020_06_tract.zip,https://www2.census.gov/geo/tiger/TIGER2020/TRACT/tl_2020_06_tract.zip,TIGER_Line_shapefile,legacy_QA_reference_not_used_for_published_layer,eb070567eb8777ac78af73df80643b70168330d8bf8c67722fdfcc2519f08ced
