official_order,project_id,project_name,driver,status_note
1,1011-R-16,Oro Loma 70 kV Area Reinforcement (Re-scope),Reliability,
2,2526-R-01,Walnut 230 kV CB Upgrade,Reliability,
3,2526-R-02,Ames 115 kV Short Circuit Mitigation,Reliability,
4,2526-R-03,DeAnza 115 kV Substation,Reliability,On hold
5,2526-R-04,Lincoln-Pleasant Grove Line Reconductoring,Reliability,
6,2526-R-05,Los Esteros 230 kV Short Circuit Mitigation,Reliability,
7,2526-R-06,Mariposa 70 kV Voltage Support,Reliability,
8,2526-R-07,Metcalf 230 kV Short Circuit Mitigation,Reliability,
9,2526-R-08,Midway 115 kV Bus Upgrade,Reliability,
10,2526-R-09,Monta Vista-Loyola-Los Altos 60 kV Line Reconductoring,Reliability,
11,2526-R-10,Monta Vista 230/115 kV Transformer Bank Addition,Reliability,
12,2526-R-11,Newark 115 kV Short Circuit Mitigation,Reliability,
13,2526-R-12,Newark 230/115 kV Bank Upgrade,Reliability,
14,2526-R-13,Nortech 115 kV Short Circuit Mitigation,Reliability,
15,2526-R-14,San Jose B 230/115 kV Transformer Bank Addition,Reliability,
16,2526-R-15,Saratoga-Vasona 230 kV Line Reconductoring,Reliability,
17,2526-R-16,South Oakland Reinforcement (Phase 2),Reliability,
18,2526-R-17,Tesla-Trimble-Metcalf 230 kV Corridor Expansion,Reliability,
19,2526-R-18,Trimble 115 kV Short Circuit Mitigation,Reliability,
20,2526-R-19,Lugo 230 kV CB Upgrade,Reliability,
21,2526-R-20,Devers 230 kV SCD Upgrade,Reliability,
22,2526-R-21,Lugo 500 kV Reactive Power Reinforcement,Reliability,
23,2526-R-22,Mesa-Laguna Bell 230 kV #2 Upgrade,Reliability,
24,2526-R-23,Etiwanda and Mira Loma 230 kV SCD Upgrade,Reliability,
25,2526-R-24,Penasquitos-Mira Sorrento 69 kV #2 Line,Reliability,
26,2526-R-25,TL600B Reconductor,Reliability,
27,2526-R-26,TL623C Reconductor,Reliability,
28,2526-R-27,TL690B / TL697 Reconductor,Reliability,
29,2425-R-02,Ames Distribution-Palo Alto 115 kV Line (Re-scope),Reliability,
30,1314-R-17,Morgan Hill Area Reinforcement Project (Re-scope),Reliability,
31,2425-R-25,South Bay Reinforcement Project (Re-scope),Reliability,Part G on hold pending SVP coordination
32,1819-E-01,East Marysville 115/60 kV Project (Re-scope),Reliability,
33,2324-R-20,Short Circuit Mitigation for Imperial Valley 230 kV Circuit Breakers (Re-scope),Reliability,
34,2526-P-01,Drum-Higgins 115 kV Line Reconductoring,Policy,
35,2526-P-02,East Shore 230 kV Area Reinforcement,Policy,
36,2526-P-03,Oleum Area Reinforcement,Policy,
37,2526-P-04,Trout Canyon-Lugo 500 kV Line,Policy,
38,2026-E-01,Gates-Los Banos #3 500 kV Line Series Compensation,Economic,
